application_id,tin,as_of_date,application_channel,application_period_start,application_period_end,segment
WHTEX-2025-12-276082,8979018059,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-04-431374,5610186739,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-11-886538,3314354266,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-06-594972,4146072503,2024-06-01,BACKOFFICE,2023-07-01,2024-06-30,SMALL
WHTEX-2025-10-541447,7888388701,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-07-359508,9301506165,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-03-205513,6986925690,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-11-919257,3394277853,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-03-611357,4139745868,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-487444,3699324152,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-07-643592,6558942161,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-849131,1125426589,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-06-449385,9561519528,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-09-277733,3022205270,2025-09-01,BACKOFFICE,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-10-729346,2179519764,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-12-959248,5809405989,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-10-405056,4951316010,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2024-08-385150,3556461794,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-11-667827,4219143683,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-865133,9631660042,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-06-153584,3192370708,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-09-897813,3778736396,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-01-492913,3093129464,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2024-04-113777,9874267687,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-07-126534,7170330091,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-06-219407,5610186739,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-08-685977,6886921685,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-09-882734,4870239126,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-02-719123,5940802598,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2025-04-242601,5267194075,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-10-848724,2947201257,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-06-138644,6119504248,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-12-973540,2375894099,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-116348,6741430698,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-06-388516,4432692055,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-03-507363,9003716656,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-12-462540,1835069087,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-08-958924,2115333034,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-01-888245,5045790170,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-04-566751,5942299452,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-06-808337,5252218098,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-09-937425,2603861708,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-06-710854,3593400527,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-01-833051,2863184873,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-09-580349,3037577863,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-08-830898,8801212944,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-03-952013,2660244257,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-02-903793,2097295105,2024-02-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-09-754814,7158752377,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-10-256822,2868734548,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-948550,8294677440,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-484893,6576123306,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-05-686341,2312490706,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-10-132153,5148382519,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-01-815956,6417972671,2024-01-01,BACKOFFICE,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-12-441733,3476372730,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-08-996150,7283087055,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-01-692621,5977117057,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-03-106496,4528382156,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-08-797579,9625862628,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-09-838199,8598451218,2025-09-01,BACKOFFICE,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-08-502479,4118435751,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-03-546957,3503020211,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-06-127684,3989467429,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-04-798562,3947608704,2025-04-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-822329,8467749191,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-05-410788,6140506258,2024-05-01,BACKOFFICE,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-08-918334,1442058793,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-01-407834,9219566653,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-02-886302,6681573255,2025-02-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-11-776654,7763676042,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-02-376579,2654273114,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-09-424559,2290150631,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2025-03-906127,4239394079,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2025-10-892339,1020778953,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-466282,9153119969,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-12-684403,8055083881,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-08-313270,4630189629,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-01-210332,1839438147,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-11-973254,2192878728,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-07-273591,1445132234,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-12-245369,4564587261,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-09-187600,1394233892,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-04-148946,6228904363,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-05-803398,8658974080,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-02-939609,8171353794,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-08-370175,9244106606,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-07-219582,9940316485,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-10-981637,4563705727,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-06-139964,3210094349,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-04-400042,6840206479,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2025-05-867400,1690663839,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-288575,9162121762,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-12-904921,4057453487,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-11-318134,6066693202,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-06-378859,7132354454,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-09-931609,1238791934,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-05-134376,2997586356,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-09-939253,4132282810,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-05-323699,8045385090,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-05-214605,5298838926,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-01-655749,3811299772,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-08-314893,7214459960,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-01-320003,4990727789,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-03-457146,9260739969,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-12-510294,1902586586,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-07-603591,6857151307,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-601455,1838963914,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-08-266080,7761809301,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-01-113184,2623183494,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-03-692724,2257915698,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-06-651482,1310238935,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-12-888220,9305779266,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-03-150955,7002659472,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-12-588440,9789976703,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-04-549942,6885148875,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-01-736631,3196565009,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-09-785672,3057810423,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-07-699417,8945430094,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-12-870293,9332579609,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-12-450602,2601212394,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-01-105356,7307929091,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-02-274584,1544756057,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-09-469848,4312839438,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-07-709958,5680647210,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-380232,5423618557,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-01-395619,6522448915,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-01-668383,1599029712,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-07-432352,2753539178,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-09-423073,6931036593,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-06-129326,1604500019,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-06-684293,2065591748,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-01-681658,6536220309,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-11-606684,5014285473,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-10-752135,9314870495,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2025-09-397464,7804838329,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-12-167055,9930224865,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-04-417608,7167226888,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-06-767653,5505947565,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-11-586728,1937363444,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-08-653557,6830897327,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-04-888976,4103792228,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-08-369727,1572972303,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2025-05-726508,8541821967,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-02-738362,3234648230,2025-02-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-07-414580,5997300579,2024-07-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-06-671137,3327014603,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-06-112253,5836938160,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-07-465800,1850200012,2024-07-01,BACKOFFICE,2024-07-01,2025-06-30,LARGE
WHTEX-2024-01-953610,6751244892,2024-01-01,BACKOFFICE,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-05-872345,3688831635,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-01-231596,2633485686,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-12-779851,2478280485,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-04-693994,6920769565,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-06-576915,1466246040,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-03-883821,6216982473,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-04-514410,6182394445,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-12-606797,8010967191,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-05-262213,1789834444,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-10-795042,8399145465,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-564419,5429378940,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-06-535059,4807777476,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-05-182801,6356915563,2025-05-01,BACKOFFICE,2024-07-01,2025-06-30,LARGE
WHTEX-2024-06-330157,1760328061,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-12-972211,2349473301,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-06-752457,8525042061,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-09-262450,4409811607,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-06-204802,8415211249,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-11-630799,2204077830,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2025-04-270100,2756118169,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-04-296461,5300895466,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-03-821003,3354894240,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-12-851767,3552410346,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-09-512195,6926326915,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-12-784106,2006603221,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-324340,7791132658,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-07-904798,1855861734,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-238654,7637144006,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-03-596739,3786146074,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-07-947563,1244639201,2024-07-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-08-499305,5776509619,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-05-983644,4450085140,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-11-266929,5761354541,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2024-05-738862,4362527246,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-05-328910,7692403285,2025-05-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-03-888360,2529465322,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-05-501166,7839865103,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-10-584814,3429094095,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-01-857141,5075831491,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-06-675136,6110302468,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-697240,2060595108,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-08-266814,7172474028,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-11-959587,1916073898,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-05-685430,4755282488,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-01-907299,4750336927,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-01-888119,1209619540,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-07-647323,5033944788,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-135546,6971079315,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-03-793656,3182345677,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-07-912640,7550589690,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-09-907766,4853528771,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2024-11-216217,2670919260,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-02-286276,9578849724,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-03-467529,3129961266,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-02-960657,7010642429,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-585827,6294756235,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2025-06-274997,8777231462,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-442539,1043716039,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2024-05-873522,2547643167,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-07-382739,4979337017,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-11-805842,9619240672,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-937381,7360263291,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-05-850251,7884989716,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-08-427406,7227613886,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-563484,6316703147,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-11-726037,5400084713,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-01-973424,9220429959,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-10-116919,9122985722,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-02-796705,2491776521,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-07-681212,5588473294,2024-07-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-812921,1017367370,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-868300,5382838740,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-02-971216,8005451473,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-02-904679,3883574832,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-04-864065,7458752328,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-12-851665,9803839876,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-08-613778,3354894240,2024-08-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-08-930278,6005966074,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-07-103096,8598451218,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-03-555466,3327014603,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-03-836154,2312490706,2025-03-01,BACKOFFICE,2024-07-01,2025-06-30,LARGE
WHTEX-2025-05-243035,1427261476,2025-05-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-05-836864,9306490778,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-07-100380,9543275326,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-10-523137,6831536339,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-12-792290,6596758275,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-08-786692,3542809611,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-11-218632,9301506165,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-01-183129,2210969875,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-605087,5603780229,2025-03-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-02-990972,6110302468,2024-02-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-12-605990,8525042061,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-06-814108,2673769778,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
